,Objeto do Contrato,Tipo de Procedimento,Tipo(s) de Contrato,CPV,CPV Tipo ,CPV Designação,CPV Valor,Entidade(s) Adjudicante(s),Entidade(s) Adjudicatária(s),Preço Contratual,Data de Publicação,Data de Celebração do Contrato,Prazo de Execução,Fundamentação,Causa de Extinção do Contrato,Data de Fecho do Contrato,Preço Total Efetivo,Causas das Alterações ao Prazo,Causas das Alterações ao Preço,Estado,N.º registo do Acordo Quadro,Descrição do Acordo Quadro,Procedimento Centralizado,Ligação para Peças do Procedimento,Lista de Fornecedores (cocontratantes),Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE,groupMembers,CPV_VALOR_TRIM,NIF_AJUDICARIO,Nome_tratado,Prazo_execução_nr,Valor_Dia,preço_contratual_nr
10,Serviços especializados para a área de Contratação Pública da Direção de Administração Geral  - Lote 1 - serviços para acompanhamento e monitorização de procedimentos aquisitivos.,Concurso público,Aquisição de serviços,79400000-8,Principal,Serviços de consultoria em matéria comercial e de gestão e serviços conexos,84600.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","MULTITRAB – Serviços, Lda. (514756969)","84.600,00 €",16-03-2022,2022-03-11,1022 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,84600.0,514756969,"MULTITRAB – Serviços, Lda. (514756969)",1022,82.7788649706458,84600.0
11,Serviços para patrocínio judicial de processos em curso,Ajuste Direto Regime Geral,Aquisição de serviços,79110000-8,Principal,Serviços de assessoria e representação jurídicas,45000.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Sérvulo & Associados - Sociedade de Advogados, S.P., R.L. (504344285)","45.000,00 €",16-03-2022,2022-03-10,291 dias,"Artigo 27.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,45000.0,504344285,"Sérvulo & Associados - Sociedade de Advogados, S.P., R.L. (504344285)",291,154.63917525773195,45000.0
12,Concurso Público Simplificado sem Publicidade Internacional para aquisição de firewalls (Lei 30/2021) (PRR),Concurso público,Aquisição de bens móveis,30200000-1,Principal,Equipamento e material informático,98870.53 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Milestone Ii Technology , S.a (514695943)","98.870,53 €",16-03-2022,2022-03-10,122 dias,"Artigo 2.º, alínea a), da Lei n.º 30/2021, de 21.05",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,98870.53,514695943,"Milestone Ii Technology , S.a (514695943)",122,810.4141803278688,98870.53
13,Aquisição de Switchs (PRR),Concurso público,Aquisição de bens móveis,30200000-1,Principal,Equipamento e material informático,1482355.66 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","MEO - SERVIÇOS DE COMUNICAÇÕES E MULTIMÉDIA, SA (504615947)","1.482.355,66 €",16-03-2022,2022-03-10,122 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,1482355.66,504615947,"MEO - SERVIÇOS DE COMUNICAÇÕES E MULTIMÉDIA, SA (504615947)",122,12150.456229508196,1482355.66
14,"Serviços de comunicações fixas e móveis para a SPMS, E.P.E.",Concurso público,Aquisição de serviços,64200000-8,Principal,Serviços de telecomunicações,308227.68 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","NOS- Comunicações, S.A (502604751)","308.227,68 €",03-03-2022,2021-05-04,1095 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,308227.68,502604751,"NOS- Comunicações, S.A (502604751)",1095,281.4864657534246,308227.68
15,Serviços para patrocínio judicial de processos em curso,Ajuste Direto Regime Geral,Aquisição de serviços,79110000-8,Principal,Serviços de assessoria e representação jurídicas,6000.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","BAS - Sociedade  de  Advogados,  SP,  RL (509100007)","6.000,00 €",03-03-2022,2022-02-23,309 dias,"Artigo 27.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,6000.0,509100007,"BAS - Sociedade  de  Advogados,  SP,  RL (509100007)",309,19.41747572815534,6000.0
16,"Serviços de migrações da solução CTH para o RSE-SIGA, do RSE para o Sonho e do RSE para o CSP",Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,60012.4 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","AltranPortugal, S.A. (504272179)","60.012,40 €",03-03-2022,2022-02-18,312 dias,Artigo 155.º do Código dos Contratos Públicos,,,,,,,Não aplicável.,Não aplicável.,False,,False,,,60012.4,504272179,"AltranPortugal, S.A. (504272179)",312,192.3474358974359,60012.4
17,Serviços de monitorização de Media-Clipping,Ajuste Direto Regime Geral,Aquisição de serviços,79200000-6,Principal,"Serviços de contabilidade, de auditoria e fiscais",5760.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Cision Portugal - Distribuição de Informação Geral, S.A. (501355383)","5.760,00 €",03-03-2022,2022-03-02,302 dias,"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,5760.0,501355383,"Cision Portugal - Distribuição de Informação Geral, S.A. (501355383)",302,19.072847682119207,5760.0
18,Aquisição de Licenças de utilização de software para classificação de doentes em grupos de diagnósticos homogéneos (GDH),Ajuste Direto Regime Geral,Aquisição de bens móveis,48100000-9,Principal,Pacote de software para sectores específicos,408151.14 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","SIGESA - Sistemas de Gestão de Saúde (Portugal), Unipessoal, Lda. (509661319)","408.151,14 €",03-03-2022,2022-02-23,309 dias,"Artigo 24.º, n.º 1, alínea e), subalínea iii) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,408151.14,Portugal,"SIGESA - Sistemas de Gestão de Saúde (Portugal), Unipessoal, Lda. (509661319)",309,1320.8774757281553,408151.14
19,"Aquisição de gás propano a granel para o Centro de Controlo e Monitorização do Serviço Nacional de Saúde (CCM-SNS, MAIA)",Concurso público,Aquisição de bens móveis,09122100-1,Principal,Gás propano,21504.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Petrogal, S.A. (500697370)","21.504,00 €",03-03-2022,2022-02-23,1040 dias,"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,21504.0,500697370,"Petrogal, S.A. (500697370)",1040,20.676923076923078,21504.0
20,Serviços de Contabilista Certificado para a SPMS para 2022,Ajuste Direto Regime Geral,Aquisição de serviços,79211000-6,Principal,Serviços de contabilidade,7200.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",Gonçalo Raimundo,"7.200,00 €",03-03-2022,2022-02-23,309 dias,"Artigo 21.º, n.º 1, alínea c) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,7200.0,,,309,23.300970873786408,7200.0
21,"Serviços de medicina do trabalho para a SPMS, EPE",Concurso público,Aquisição de serviços,71317200-5,Principal,Serviços de saúde e segurança,30000.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Workview - Prestação de Serviços de Higiene, Segurança e Saúde no Trabalho, Unipessoal, Lda. (507159683)","30.000,00 €",03-03-2022,2022-02-23,1041 dias,"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,30000.0,507159683,"Workview - Prestação de Serviços de Higiene, Segurança e Saúde no Trabalho, Unipessoal, Lda. (507159683)",1041,28.818443804034583,30000.0
22,Serviços de controlo de versionamento e acompanhamento de infraestruturas que viabilizem o funcionamento da app SNS24,Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,52800.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Timestamp - Sistemas de Informação, S.A. (506360237)","52.800,00 €",14-02-2022,2022-01-19,70 dias,"Artigo 2º, n.º 1 do DL . nº 10-A/2020, de 13.03",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,52800.0,506360237,"Timestamp - Sistemas de Informação, S.A. (506360237)",70,754.2857142857143,52800.0
23,Serviços de manutenção e desenvolvimento no âmbito do Centro de Controlo e Monitorização do Serviço Nacional de Saúde,Ajuste Direto Regime Geral,Aquisição de serviços,75200000-8,Principal,Prestação de serviços à comunidade,46200.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","NTT Data Portugal, S.A. (506204650)","46.200,00 €",08-02-2022,2022-01-28,120 dias,"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,46200.0,506204650,"NTT Data Portugal, S.A. (506204650)",120,385.0,46200.0
24,"Serviços de ativação,formação,migração de dados,Interoperabilidade e acompanhamento dos projetos, bem como a melhoria contínua no âmbito da transformação digital das Unidades Hospitalares",Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,295680.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)",TIMESTAMP – Sistemas de Informação S.A. (506360237),"295.680,00 €",07-02-2022,2022-01-28,365 dias,"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,295680.0,506360237,"Timestamp - Sistemas de Informação, S.A. (506360237)",365,810.082191780822,295680.0
25,"Serviços de manutenção para o sistema de vigilância eletrónica (CCTV), existente nas instalações da SPMS, EPE",Concurso público,Aquisição de serviços,50600000-1,Principal,Serviços de reparação e manutenção de material de segurança e defesa,24000.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",STRONG CHARON (503257567),"24.000,00 €",04-02-2022,2022-01-27,1095 dias,Artigo 155.º do Código dos Contratos Públicos,,,,,,,Não aplicável.,Não aplicável.,False,,False,,,24000.0,503257567,STRONG CHARON (503257567),1095,21.91780821917808,24000.0
26,Serviços de apoio à operação do CCM-SNS,Ajuste Direto Regime Geral,Aquisição de serviços,75122000-7,Principal,Serviços administrativos na área da saúde,94997.97 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Your Time - Serviços Personalizados, Lda (507524950)","94.997,97 €",04-02-2022,2022-01-21,65 dias,"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,94997.97,507524950,"Your Time - Serviços Personalizados, Lda (507524950)",65,1461.5072307692308,94997.97
27,Aquisição de dispositivos de captura de parâmetros biométricos ,Ajuste Direto Regime Geral,Aquisição de bens móveis,33190000-8,Principal,Dispositivos e produtos médicos variados,19950.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Farcom, Lda (513644067)","19.950,00 €",30-12-2021,2021-12-27,121 dias,"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,19950.0,513644067,"Farcom, Lda (513644067)",121,164.87603305785123,19950.0
28,Aquisição de artigos de merchandising para a DRH,Ajuste Direto Regime Geral,Aquisição de bens móveis,30192000-1,Principal,Material de escritório,19510.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Signa Design, Lda  (508095077)","19.510,00 €",30-12-2021,2021-12-30,15 dias,"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,19510.0,508095077,"Signa Design, Lda  (508095077)",15,1300.6666666666667,19510.0
29,Serviços para projeto SCOUT.AI,Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,70527.07 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","AXIANSEU II DIGITAL CONSULTING, SA (501774360)","70.527,07 €",22-12-2021,2021-12-07,31 dias,"Artigo 3.º, n.º 1, do DLn.º 60/2018, de 03.08",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,70527.07,501774360,"AXIANSEU II DIGITAL CONSULTING, SA (501774360)",31,2275.0667741935486,70527.07
30,"Serviços de análise funcional, suporte, manutenção corretiva e evolutiva do Registo de Saúde Eletrónico",Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,189034.56 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Altranportugal, SA (504272179)","189.034,56 €",22-12-2021,2021-12-13,182 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,189034.56,504272179,"AltranPortugal, S.A. (504272179)",182,1038.6514285714286,189034.56
31,"Serviços de higiene sanitária para as instalações SPMS, EPE",Concurso público,Aquisição de serviços,85142300-9,Principal,Serviços de higiene,67503.96 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",Rentokil Initial Portugal Serviços de Proteção Ambiental (501351167),"67.503,96 €",22-12-2021,2021-12-15,1095 dias,"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,67503.96,501351167,Rentokil Initial Portugal Serviços de Proteção Ambiental (501351167),1095,61.64745205479453,67503.96
32,Serviços de avaliação de candidatura para efeitos de exercício de funções de dirigente para a SPMS,Consulta Prévia,Aquisição de serviços,79414000-9,Principal,Serviços de consultoria em matéria de gestão de recursos humanos,50000.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","WINLEAD - CONSULTORIA E DESENVOLVIMENTO DE LIDERANÇA, LDA. (514699647)","50.000,00 €",22-12-2021,2021-12-17,62 dias,"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,50000.0,514699647,"WINLEAD - CONSULTORIA E DESENVOLVIMENTO DE LIDERANÇA, LDA. (514699647)",62,806.4516129032259,50000.0
33,Serviços de desenvolvimento e manutenção da plataforma TRACECOVID-19,Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,145800.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","AXIANSEU II DIGITAL CONSULTING, SA (501774360)","145.800,00 €",21-12-2021,2021-11-25,17 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,145800.0,501774360,"AXIANSEU II DIGITAL CONSULTING, SA (501774360)",17,8576.470588235294,145800.0
34,"Serviços de Assistente Pessoal de Saúde - Lote 1 -  Serviços de estratégia, Planificação e conteúdos informativos do Portal SNS",Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,43225.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)",MATCH PROFILER LDA (504642251),"43.225,00 €",13-12-2021,2021-11-29,91 dias,"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,43225.0,504642251,MATCH PROFILER LDA (504642251),91,475.0,43225.0
35,Serviços de desenvolvimento e manutenção da plataforma Trace COVID-19 ,Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,92500.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","Axianseu II Digital Consulting, SA (501774360)","92.500,00 €",13-12-2021,2021-11-25,62 dias,"Artigo 27.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,92500.0,501774360,"AXIANSEU II DIGITAL CONSULTING, SA (501774360)",62,1491.9354838709678,92500.0
36,Serviços para recrutamento de pessoal especializado para a SPMS,Consulta Prévia,Aquisição de serviços,79600000-0,Principal,Serviços de recrutamento,61308.0 € ,"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)","SHL Portugal - People Solutions, Sistemas para Avaliação e Desenvolvimento de Recursos Humanos, Lda  (500849064)","61.308,00 €",13-12-2021,2021-11-16,43 dias,"Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,61308.0,500849064,"SHL Portugal - People Solutions, Sistemas para Avaliação e Desenvolvimento de Recursos Humanos, Lda  (500849064)",43,1425.7674418604652,61308.0
37,Serviços de desenvolvimento aplicacional – Registo Nacional de Profissionais,Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,35932.16 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","ALTRANPORTUGAL, S. A. (504272179)","35.932,16 €",13-12-2021,2021-11-22,127 dias,"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,35932.16,504272179,"AltranPortugal, S.A. (504272179)",127,282.9303937007874,35932.16
38,"Serviços de desenvolvimento, operação, suporte e manutenção das plataformas de interoperabilidade da SPMS (local, central e internacional), servidor de terminologia e IOP TEST BED",Ajuste Direto Regime Geral,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,112703.36 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","Claranet Talent, S.A. (515777048)","112.703,36 €",13-12-2021,2021-11-29,90 dias,"Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,112703.36,515777048,"Claranet Talent, S.A. (515777048)",90,1252.2595555555556,112703.36
39,Serviços para auditoria interna ao Projeto UNO,Ajuste Direto Regime Geral,Aquisição de serviços,79210000-9,Principal,Serviços de contabilidade e auditoria,7400.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","DYNAMIC TOMORROW, LDA (514549998)","7.400,00 €",13-12-2021,2021-12-06,22 dias,"Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,7400.0,514549998,"DYNAMIC TOMORROW, LDA (514549998)",22,336.3636363636364,7400.0
40,Serviços de desenvolvimento da plataforma Business Intelligence SINAVE (BI-SINAVE),Concurso público,Aquisição de serviços,72500000-0,Principal,Serviços relacionados com a informática,199948.0 € ,"SPMS- Serviços Partilhados do M. da Saúde, E.P.E. (509540716)","NOVABASE DIGITAL, S.A. (501774360)","199.948,00 €",13-12-2021,2021-12-06,182 dias,"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos",,,,,,,Não aplicável.,Não aplicável.,False,,False,,,199948.0,501774360,"AXIANSEU II DIGITAL CONSULTING, SA (501774360)",182,1098.6153846153845,199948.0
